PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34575711","Feature Explanations in Recurrent Neural Networks for Predicting Risk of Mortality in Intensive Care Patients","Na Pattalung T, Ingviya T, Chaichulee S.","J Pers Med. 2021 Sep 19;11(9):934. doi: 10.3390/jpm11090934.","Na Pattalung T","J Pers Med","2021","2021/09/28","PMC8465577","","10.3390/jpm11090934"
"33894501","Visual interpretability in 3D brain tumor segmentation network","Saleem H, Shahid AR, Raza B.","Comput Biol Med. 2021 Jun;133:104410. doi: 10.1016/j.compbiomed.2021.104410. Epub 2021 Apr 19.","Saleem H","Comput Biol Med","2021","2021/04/24","","","10.1016/j.compbiomed.2021.104410"
"33168827","Cross-site transportability of an explainable artificial intelligence model for acute kidney injury prediction","Song X, Yu ASL, Kellum JA, Waitman LR, Matheny ME, Simpson SQ, Hu Y, Liu M.","Nat Commun. 2020 Nov 9;11(1):5668. doi: 10.1038/s41467-020-19551-w.","Song X","Nat Commun","2020","2020/11/10","PMC7653032","","10.1038/s41467-020-19551-w"
"33146623","Explainable Artificial Intelligence Recommendation System by Leveraging the Semantics of Adverse Childhood Experiences: Proof-of-Concept Prototype Development","Ammar N, Shaban-Nejad A.","JMIR Med Inform. 2020 Nov 4;8(11):e18752. doi: 10.2196/18752.","Ammar N","JMIR Med Inform","2020","2020/11/04","PMC7673979","","10.2196/18752"
"34574873","Detection of COVID-19 Patients from CT Scan and Chest X-ray Data Using Modified MobileNetV2 and LIME","Ahsan MM, Nazim R, Siddique Z, Huebner P.","Healthcare (Basel). 2021 Aug 25;9(9):1099. doi: 10.3390/healthcare9091099.","Ahsan MM","Healthcare (Basel)","2021","2021/09/28","PMC8465084","","10.3390/healthcare9091099"
"31932608","Precision Medicine and Artificial Intelligence: A Pilot Study on Deep Learning for Hypoglycemic Events Detection based on ECG","Porumb M, Stranges S, Pescapè A, Pecchia L.","Sci Rep. 2020 Jan 13;10(1):170. doi: 10.1038/s41598-019-56927-5.","Porumb M","Sci Rep","2020","2020/01/15","PMC6957484","","10.1038/s41598-019-56927-5"
"33283214","Interpretation of Brain Morphology in Association to Alzheimer's Disease Dementia Classification Using Graph Convolutional Networks on Triangulated Meshes","Azcona E, Besson P, Wu Y, Punjabi A, Martersteck A, Dravid A, Parrish TB, Bandt SK, Katsaggelos AK; Alzheimers Disease Neuroimaging Initiative.","Shape Med Imaging (2020). 2020 Oct;12474:95-107. doi: 10.1007/978-3-030-61056-2_8. Epub 2020 Oct 3.","Azcona E","Shape Med Imaging (2020)","2020","2020/12/07","PMC7713521","NIHMS1647904","10.1007/978-3-030-61056-2_8"
"33968967","Explainable Machine Learning to Predict Successful Weaning Among Patients Requiring Prolonged Mechanical Ventilation: A Retrospective Cohort Study in Central Taiwan","Lin MY, Li CC, Lin PH, Wang JL, Chan MC, Wu CL, Chao WC.","Front Med (Lausanne). 2021 Apr 23;8:663739. doi: 10.3389/fmed.2021.663739. eCollection 2021.","Lin MY","Front Med (Lausanne)","2021","2021/05/10","PMC8104124","","10.3389/fmed.2021.663739"
"29975192","Visual Analytics for Explainable Deep Learning","Choo J, Liu S.","IEEE Comput Graph Appl. 2018 Jul/Aug;38(4):84-92. doi: 10.1109/MCG.2018.042731661.","Choo J","IEEE Comput Graph Appl","2018","2018/07/06","","","10.1109/MCG.2018.042731661"
"34980946","Unbox the black-box for the medical explainable AI via multi-modal and multi-centre data fusion: A mini-review, two showcases and beyond","Yang G, Ye Q, Xia J.","Inf Fusion. 2022 Jan;77:29-52. doi: 10.1016/j.inffus.2021.07.016.","Yang G","Inf Fusion","2022","2022/01/04","PMC8459787","","10.1016/j.inffus.2021.07.016"
"33382379","Automatically Explaining Machine Learning Prediction Results on Asthma Hospital Visits in Patients With Asthma: Secondary Analysis","Luo G, Johnson MD, Nkoy FL, He S, Stone BL.","JMIR Med Inform. 2020 Dec 31;8(12):e21965. doi: 10.2196/21965.","Luo G","JMIR Med Inform","2020","2020/12/31","PMC7808890","","10.2196/21965"
"29968730","Probabilistic Prognostic Estimates of Survival in Metastatic Cancer Patients (PPES-Met) Utilizing Free-Text Clinical Narratives","Banerjee I, Gensheimer MF, Wood DJ, Henry S, Aggarwal S, Chang DT, Rubin DL.","Sci Rep. 2018 Jul 3;8(1):10037. doi: 10.1038/s41598-018-27946-5.","Banerjee I","Sci Rep","2018","2018/07/04","PMC6030075","","10.1038/s41598-018-27946-5"
"31871002","Models of Parkinson's Disease Patient Gait","Hughes JA, Houghten S, Brown JA.","IEEE J Biomed Health Inform. 2020 Nov;24(11):3103-3110. doi: 10.1109/JBHI.2019.2961808. Epub 2020 Nov 6.","Hughes JA","IEEE J Biomed Health Inform","2020","2019/12/25","","","10.1109/JBHI.2019.2961808"
"35079203","A fuzzy-enhanced deep learning approach for early detection of Covid-19 pneumonia from portable chest X-ray images","Ieracitano C, Mammone N, Versaci M, Varone G, Ali AR, Armentano A, Calabrese G, Ferrarelli A, Turano L, Tebala C, Hussain Z, Sheikh Z, Sheikh A, Sceni G, Hussain A, Morabito FC.","Neurocomputing. 2022 Apr 7;481:202-215. doi: 10.1016/j.neucom.2022.01.055. Epub 2022 Jan 21.","Ieracitano C","Neurocomputing","2022","2022/01/26","PMC8776345","","10.1016/j.neucom.2022.01.055"
"30990384","A Roadmap for Foundational Research on Artificial Intelligence in Medical Imaging: From the 2018 NIH/RSNA/ACR/The Academy Workshop","Langlotz CP, Allen B, Erickson BJ, Kalpathy-Cramer J, Bigelow K, Cook TS, Flanders AE, Lungren MP, Mendelson DS, Rudie JD, Wang G, Kandarpa K.","Radiology. 2019 Jun;291(3):781-791. doi: 10.1148/radiol.2019190613. Epub 2019 Apr 16.","Langlotz CP","Radiology","2019","2019/04/17","PMC6542624","","10.1148/radiol.2019190613"
"34891882","An Interpretable Object Detection-Based Model For The Diagnosis Of Neonatal Lung Diseases Using Ultrasound Images","Bassiouny R, Mohamed A, Umapathy K, Khan N.","Annu Int Conf IEEE Eng Med Biol Soc. 2021 Nov;2021:3029-3034. doi: 10.1109/EMBC46164.2021.9630169.","Bassiouny R","Annu Int Conf IEEE Eng Med Biol Soc","2021","2021/12/11","","","10.1109/EMBC46164.2021.9630169"
"34724537","Potential for Process Improvement of Clinical Flow Cytometry by Incorporating Real-Time Automated Screening of Data to Expedite Addition of Antibody Panels","Simonson PD, Lee AY, Wu D.","Am J Clin Pathol. 2022 Mar 3;157(3):443-450. doi: 10.1093/ajcp/aqab166.","Simonson PD","Am J Clin Pathol","2022","2021/11/01","","","10.1093/ajcp/aqab166"
"32995822","AI for radiographic COVID-19 detection selects shortcuts over signal","DeGrave AJ, Janizek JD, Lee SI.","medRxiv. 2020 Oct 7:2020.09.13.20193565. doi: 10.1101/2020.09.13.20193565. Preprint.","DeGrave AJ","medRxiv","2020","2020/09/30","PMC7523163","","10.1101/2020.09.13.20193565"
"34974610","The year in cardiovascular medicine 2021: digital health and innovation","Vardas PE, Asselbergs FW, van Smeden M, Friedman P.","Eur Heart J. 2022 Jan 31;43(4):271-279. doi: 10.1093/eurheartj/ehab874.","Vardas PE","Eur Heart J","2022","2022/01/02","","","10.1093/eurheartj/ehab874"
"32997637","A Robust Interpretable Deep Learning Classifier for Heart Anomaly Detection Without Segmentation","Dissanayake T, Fernando T, Denman S, Sridharan S, Ghaemmaghami H, Fookes C.","IEEE J Biomed Health Inform. 2021 Jun;25(6):2162-2171. doi: 10.1109/JBHI.2020.3027910. Epub 2021 Jun 3.","Dissanayake T","IEEE J Biomed Health Inform","2021","2020/09/30","","","10.1109/JBHI.2020.3027910"
"33937165","Auxiliary Diagnostic Method for Patellofemoral Pain Syndrome Based on One-Dimensional Convolutional Neural Network","Shi W, Li Y, Xu D, Lin C, Lan J, Zhou Y, Zhang Q, Xiong B, Du M.","Front Public Health. 2021 Apr 16;9:615597. doi: 10.3389/fpubh.2021.615597. eCollection 2021.","Shi W","Front Public Health","2021","2021/05/03","PMC8085395","","10.3389/fpubh.2021.615597"
"35035108","Classification of Covid-19 chest X-ray images by means of an interpretable evolutionary rule-based approach","De Falco I, De Pietro G, Sannino G.","Neural Comput Appl. 2022 Jan 8:1-11. doi: 10.1007/s00521-021-06806-w. Online ahead of print.","De Falco I","Neural Comput Appl","2022","2022/01/17","PMC8741589","","10.1007/s00521-021-06806-w"
"31853936","Unsupervised Machine Learning of Topics Documented by Nurses about Hospitalized Patients Prior to a Rapid-Response Event","Korach ZT, Cato KD, Collins SA, Kang MJ, Knaplund C, Dykes PC, Wang L, Schnock KO, Garcia JP, Jia H, Chang F, Schwartz JM, Zhou L.","Appl Clin Inform. 2019 Oct;10(5):952-963. doi: 10.1055/s-0039-3401814. Epub 2019 Dec 18.","Korach ZT","Appl Clin Inform","2019","2019/12/20","PMC6920051","","10.1055/s-0039-3401814"
"35150424","Seasonal prediction of daily PM(2.5) concentrations with interpretable machine learning: a case study of Beijing, China","Wu Y, Lin S, Shi K, Ye Z, Fang Y.","Environ Sci Pollut Res Int. 2022 Feb 12. doi: 10.1007/s11356-022-18913-9. Online ahead of print.","Wu Y","Environ Sci Pollut Res Int","2022","2022/02/12","","","10.1007/s11356-022-18913-9"
"35207676","Verification of De-Identification Techniques for Personal Information Using Tree-Based Methods with Shapley Values","Lee J, Jeong J, Jung S, Moon J, Rho S.","J Pers Med. 2022 Jan 31;12(2):190. doi: 10.3390/jpm12020190.","Lee J","J Pers Med","2022","2022/02/25","PMC8877642","","10.3390/jpm12020190"
"32704414","Explainable Machine Learning Approach as a Tool to Understand Factors Used to Select the Refractive Surgery Technique on the Expert Level","Yoo TK, Ryu IH, Choi H, Kim JK, Lee IS, Kim JS, Lee G, Rim TH.","Transl Vis Sci Technol. 2020 Feb 12;9(2):8. doi: 10.1167/tvst.9.2.8.","Yoo TK","Transl Vis Sci Technol","2020","2020/07/25","PMC7346876","","10.1167/tvst.9.2.8"
"30500816","Characterising risk of in-hospital mortality following cardiac arrest using machine learning: A retrospective international registry study","Nanayakkara S, Fogarty S, Tremeer M, Ross K, Richards B, Bergmeir C, Xu S, Stub D, Smith K, Tacey M, Liew D, Pilcher D, Kaye DM.","PLoS Med. 2018 Nov 30;15(11):e1002709. doi: 10.1371/journal.pmed.1002709. eCollection 2018 Nov.","Nanayakkara S","PLoS Med","2018","2018/12/01","PMC6267953","","10.1371/journal.pmed.1002709"
"30777059","Importance of medical data preprocessing in predictive modeling and risk factor discovery for the frailty syndrome","Hassler AP, Menasalvas E, García-García FJ, Rodríguez-Mañas L, Holzinger A.","BMC Med Inform Decis Mak. 2019 Feb 18;19(1):33. doi: 10.1186/s12911-019-0747-6.","Hassler AP","BMC Med Inform Decis Mak","2019","2019/02/20","PMC6483150","","10.1186/s12911-019-0747-6"
"33711543","Explainable automated coding of clinical notes using hierarchical label-wise attention networks and label embedding initialisation","Dong H, Suárez-Paniagua V, Whiteley W, Wu H.","J Biomed Inform. 2021 Apr;116:103728. doi: 10.1016/j.jbi.2021.103728. Epub 2021 Mar 9.","Dong H","J Biomed Inform","2021","2021/03/12","","","10.1016/j.jbi.2021.103728"
"32532058","Sensitivity Analysis of Sensors in a Hydraulic Condition Monitoring System Using CNN Models","König C, Helmi AM.","Sensors (Basel). 2020 Jun 10;20(11):3307. doi: 10.3390/s20113307.","König C","Sensors (Basel)","2020","2020/06/14","PMC7308971","","10.3390/s20113307"
"33856359","Generalizability of an Automatic Explanation Method for Machine Learning Prediction Results on Asthma-Related Hospital Visits in Patients With Asthma: Quantitative Analysis","Luo G, Nau CL, Crawford WW, Schatz M, Zeiger RS, Koebnick C.","J Med Internet Res. 2021 Apr 15;23(4):e24153. doi: 10.2196/24153.","Luo G","J Med Internet Res","2021","2021/04/15","PMC8085752","","10.2196/24153"
"31416547","Classification of diabetes-related retinal diseases using a deep learning approach in optical coherence tomography","Perdomo O, Rios H, Rodríguez FJ, Otálora S, Meriaudeau F, Müller H, González FA.","Comput Methods Programs Biomed. 2019 Sep;178:181-189. doi: 10.1016/j.cmpb.2019.06.016. Epub 2019 Jun 14.","Perdomo O","Comput Methods Programs Biomed","2019","2019/08/17","","","10.1016/j.cmpb.2019.06.016"
"33188571","Automatic detection and characterization of quantitative phase images of thalassemic red blood cells using a mask region-based convolutional neural network","Lin YH, Liao KY, Sung KB.","J Biomed Opt. 2020 Nov;25(11):116502. doi: 10.1117/1.JBO.25.11.116502.","Lin YH","J Biomed Opt","2020","2020/11/14","PMC7665881","","10.1117/1.JBO.25.11.116502"
"30403527","What Does Deep Learning See? Insights From a Classifier Trained to Predict Contrast Enhancement Phase From CT Images","Philbrick KA, Yoshida K, Inoue D, Akkus Z, Kline TL, Weston AD, Korfiatis P, Takahashi N, Erickson BJ.","AJR Am J Roentgenol. 2018 Dec;211(6):1184-1193. doi: 10.2214/AJR.18.20331. Epub 2018 Nov 7.","Philbrick KA","AJR Am J Roentgenol","2018","2018/11/08","","","10.2214/AJR.18.20331"
"31277839","The Missing Pieces of Artificial Intelligence in Medicine","Gilvary C, Madhukar N, Elkhader J, Elemento O.","Trends Pharmacol Sci. 2019 Aug;40(8):555-564. doi: 10.1016/j.tips.2019.06.001. Epub 2019 Jul 2.","Gilvary C","Trends Pharmacol Sci","2019","2019/07/07","","","10.1016/j.tips.2019.06.001"
"33767191","Creation and validation of a chest X-ray dataset with eye-tracking and report dictation for AI development","Karargyris A, Kashyap S, Lourentzou I, Wu JT, Sharma A, Tong M, Abedin S, Beymer D, Mukherjee V, Krupinski EA, Moradi M.","Sci Data. 2021 Mar 25;8(1):92. doi: 10.1038/s41597-021-00863-5.","Karargyris A","Sci Data","2021","2021/03/26","PMC7994908","","10.1038/s41597-021-00863-5"
"32471077","Automated Detection of Presymptomatic Conditions in Spinocerebellar Ataxia Type 2 Using Monte Carlo Dropout and Deep Neural Network Techniques with Electrooculogram Signals","Stoean C, Stoean R, Atencia M, Abdar M, Velázquez-Pérez L, Khosravi A, Nahavandi S, Acharya UR, Joya G.","Sensors (Basel). 2020 May 27;20(11):3032. doi: 10.3390/s20113032.","Stoean C","Sensors (Basel)","2020","2020/05/31","PMC7309035","","10.3390/s20113032"
"34300076","Exploring Factors for Predicting Anxiety Disorders of the Elderly Living Alone in South Korea Using Interpretable Machine Learning: A Population-Based Study","Byeon H.","Int J Environ Res Public Health. 2021 Jul 18;18(14):7625. doi: 10.3390/ijerph18147625.","Byeon H","Int J Environ Res Public Health","2021","2021/07/24","PMC8305562","","10.3390/ijerph18147625"
"34641009","Automatic Prediction of Ischemia-Reperfusion Injury of Small Intestine Using Convolutional Neural Networks: A Pilot Study","Hou J, Strand-Amundsen R, Tronstad C, Høgetveit JO, Martinsen ØG, Tønnessen TI.","Sensors (Basel). 2021 Oct 8;21(19):6691. doi: 10.3390/s21196691.","Hou J","Sensors (Basel)","2021","2021/10/13","PMC8512235","","10.3390/s21196691"
"31997411","Detecting total hip replacement prosthesis design on plain radiographs using deep convolutional neural network","Borjali A, Chen AF, Muratoglu OK, Morid MA, Varadarajan KM.","J Orthop Res. 2020 Jul;38(7):1465-1471. doi: 10.1002/jor.24617. Epub 2020 Feb 11.","Borjali A","J Orthop Res","2020","2020/01/31","","","10.1002/jor.24617"
"33228051","Remaining Useful Life Prognosis for Turbofan Engine Using Explainable Deep Neural Networks with Dimensionality Reduction","Hong CW, Lee C, Lee K, Ko MS, Kim DE, Hur K.","Sensors (Basel). 2020 Nov 19;20(22):6626. doi: 10.3390/s20226626.","Hong CW","Sensors (Basel)","2020","2020/11/24","PMC7699375","","10.3390/s20226626"
"32549653","Measuring the Quality of Explanations: The System Causability Scale (SCS): Comparing Human and Machine Explanations","Holzinger A, Carrington A, Müller H.","Kunstliche Intell (Oldenbourg). 2020;34(2):193-198. doi: 10.1007/s13218-020-00636-z. Epub 2020 Jan 21.","Holzinger A","Kunstliche Intell (Oldenbourg)","2020","2020/06/19","PMC7271052","","10.1007/s13218-020-00636-z"
"33717639","GRAM: Graph-based Attention Model for Healthcare Representation Learning","Choi E, Bahadori MT, Song L, Stewart WF, Sun J.","KDD. 2017 Aug;2017:787-795. doi: 10.1145/3097983.3098126.","Choi E","KDD","2017","2021/03/15","PMC7954122","NIHMS1675242","10.1145/3097983.3098126"
"33354439","Modeling Large Sparse Data for Feature Selection: Hospital Admission Predictions of the Dementia Patients Using Primary Care Electronic Health Records","Tsang G, Zhou SM, Xie X.","IEEE J Transl Eng Health Med. 2020 Nov 24;9:3000113. doi: 10.1109/JTEHM.2020.3040236. eCollection 2021.","Tsang G","IEEE J Transl Eng Health Med","2020","2020/12/23","PMC7737850","","10.1109/JTEHM.2020.3040236"
"33424738","Rupture Risk Assessment for Cerebral Aneurysm Using Interpretable Machine Learning on Multidimensional Data","Ou C, Liu J, Qian Y, Chong W, Zhang X, Liu W, Su H, Zhang N, Zhang J, Duan CZ, He X.","Front Neurol. 2020 Dec 23;11:570181. doi: 10.3389/fneur.2020.570181. eCollection 2020.","Ou C","Front Neurol","2020","2021/01/11","PMC7785850","","10.3389/fneur.2020.570181"
"32577628","Interpretable Predictions of Clinical Outcomes with An Attention-based Recurrent Neural Network","Sha Y, Wang MD.","ACM BCB. 2017 Aug;2017:233-240. doi: 10.1145/3107411.3107445.","Sha Y","ACM BCB","2017","2020/06/25","PMC7310714","NIHMS1595598","10.1145/3107411.3107445"
"16406976","Neuro-fuzzy modeling: an accurate and interpretable method for predicting bladder cancer progression","Catto JW, Abbod MF, Linkens DA, Hamdy FC.","J Urol. 2006 Feb;175(2):474-9. doi: 10.1016/S0022-5347(05)00246-6.","Catto JW","J Urol","2006","2006/01/13","","","10.1016/S0022-5347(05)00246-6"
"31831532","Current state of science in machine learning methods for automatic infant pain evaluation using facial expression information: study protocol of a systematic review and meta-analysis","Cheng D, Liu D, Philpotts LL, Turner DP, Houle TT, Chen L, Zhang M, Yang J, Zhang W, Deng H.","BMJ Open. 2019 Dec 11;9(12):e030482. doi: 10.1136/bmjopen-2019-030482.","Cheng D","BMJ Open","2019","2019/12/14","PMC6924806","","10.1136/bmjopen-2019-030482"
"34574018","A Personalized Medical Decision Support System Based on Explainable Machine Learning Algorithms and ECC Features: Data from the Real World","Gu D, Zhao W, Xie Y, Wang X, Su K, Zolotarev OV.","Diagnostics (Basel). 2021 Sep 14;11(9):1677. doi: 10.3390/diagnostics11091677.","Gu D","Diagnostics (Basel)","2021","2021/09/28","PMC8471808","","10.3390/diagnostics11091677"
"34968737","Explainable process trace classification: An application to stroke","Leonardi G, Montani S, Striani M.","J Biomed Inform. 2022 Feb;126:103981. doi: 10.1016/j.jbi.2021.103981. Epub 2021 Dec 28.","Leonardi G","J Biomed Inform","2022","2021/12/30","","","10.1016/j.jbi.2021.103981"
"35219342","Interpretable instance disease prediction based on causal feature selection and effect analysis","Chen Y, Zhang J, Qin X.","BMC Med Inform Decis Mak. 2022 Feb 26;22(1):51. doi: 10.1186/s12911-022-01788-8.","Chen Y","BMC Med Inform Decis Mak","2022","2022/02/27","PMC8881866","","10.1186/s12911-022-01788-8"
"34042610","Clustering Results Interpretation of Continuous Variables Using Bayesian Inference","Balabaeva K, Kovalchuk S.","Stud Health Technol Inform. 2021 May 27;281:477-481. doi: 10.3233/SHTI210204.","Balabaeva K","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210204"
"32975523","Using Item Response Theory for Explainable Machine Learning in Predicting Mortality in the Intensive Care Unit: Case-Based Approach","Kline A, Kline T, Shakeri Hossein Abad Z, Lee J.","J Med Internet Res. 2020 Sep 25;22(9):e20268. doi: 10.2196/20268.","Kline A","J Med Internet Res","2020","2020/09/25","PMC7547395","","10.2196/20268"
"35207705","Systemic Periodontal Risk Score Using an Innovative Machine Learning Strategy: An Observational Study","Monsarrat P, Bernard D, Marty M, Cecchin-Albertoni C, Doumard E, Gez L, Aligon J, Vergnes JN, Casteilla L, Kemoun P.","J Pers Med. 2022 Feb 4;12(2):217. doi: 10.3390/jpm12020217.","Monsarrat P","J Pers Med","2022","2022/02/25","PMC8879877","","10.3390/jpm12020217"
"30762572","Discovering the Type 2 Diabetes in Electronic Health Records Using the Sparse Balanced Support Vector Machine","Bernardini M, Romeo L, Misericordia P, Frontoni E.","IEEE J Biomed Health Inform. 2020 Jan;24(1):235-246. doi: 10.1109/JBHI.2019.2899218. Epub 2019 Feb 13.","Bernardini M","IEEE J Biomed Health Inform","2020","2019/02/15","","","10.1109/JBHI.2019.2899218"
"35141054","Predicting the Travel Distance of Patients to Access Healthcare Using Deep Neural Networks","Chen LC, Sheu JT, Chuang YJ, Tsao Y.","IEEE J Transl Eng Health Med. 2021 Dec 8;10:4900411. doi: 10.1109/JTEHM.2021.3134106. eCollection 2022.","Chen LC","IEEE J Transl Eng Health Med","2021","2022/02/10","PMC8809644","","10.1109/JTEHM.2021.3134106"
"33166789","Automatic discovery of clinically interpretable imaging biomarkers for Mycobacterium tuberculosis supersusceptibility using deep learning","Tavolara TE, Niazi MKK, Ginese M, Piedra-Mora C, Gatti DM, Beamer G, Gurcan MN.","EBioMedicine. 2020 Dec;62:103094. doi: 10.1016/j.ebiom.2020.103094. Epub 2020 Nov 7.","Tavolara TE","EBioMedicine","2020","2020/11/09","PMC7658666","","10.1016/j.ebiom.2020.103094"
"34451887","Predicting the Skin Sensitization Potential of Small Molecules with Machine Learning Models Trained on Biologically Meaningful Descriptors","Wilm A, Garcia de Lomana M, Stork C, Mathai N, Hirte S, Norinder U, Kühnl J, Kirchmair J.","Pharmaceuticals (Basel). 2021 Aug 11;14(8):790. doi: 10.3390/ph14080790.","Wilm A","Pharmaceuticals (Basel)","2021","2021/08/28","PMC8402010","","10.3390/ph14080790"
"34127242","A new approach for interpretability and reliability in clinical risk prediction: Acute coronary syndrome scenario","Valente F, Henriques J, Paredes S, Rocha T, de Carvalho P, Morais J.","Artif Intell Med. 2021 Jul;117:102113. doi: 10.1016/j.artmed.2021.102113. Epub 2021 May 13.","Valente F","Artif Intell Med","2021","2021/06/15","","","10.1016/j.artmed.2021.102113"
"30937628","Application of Single-Nucleotide Polymorphisms in the Diagnosis of Autism Spectrum Disorders: A Preliminary Study with Artificial Neural Networks","Ghafouri-Fard S, Taheri M, Omrani MD, Daaee A, Mohammad-Rahimi H, Kazazi H.","J Mol Neurosci. 2019 Aug;68(4):515-521. doi: 10.1007/s12031-019-01311-1. Epub 2019 Apr 1.","Ghafouri-Fard S","J Mol Neurosci","2019","2019/04/03","","","10.1007/s12031-019-01311-1"
"21331215","A Clinical Communication Strategy to Enhance Effectiveness and CAHPS Scores: The ALERT Model","Hardee JT, Kasper IK.","Perm J. 2008 Summer;12(3):70-4. doi: 10.7812/tpp/07-066.","Hardee JT","Perm J","2008","2011/02/19","PMC3037130","","10.7812/tpp/07-066"
"25892835","Ordinal Logic Regression: A classifier for discovering combinations of binary markers for ordinal outcomes","Wolf BJ, Slate EH, Hill EG.","Comput Stat Data Anal. 2015 Feb 1;82:152-163. doi: 10.1016/j.csda.2014.08.013.","Wolf BJ","Comput Stat Data Anal","2015","2015/04/21","PMC4397503","NIHMS626643","10.1016/j.csda.2014.08.013"
"23630146","Are physician-patient communication practices slowly changing in Croatia? -- a cross-sectional questionnaire study","Vučemilo L, Ćurković M, Milošević M, Mustajbegović J, Borovečki A.","Croat Med J. 2013 Apr;54(2):185-91. doi: 10.3325/cmj.2013.54.185.","Vučemilo L","Croat Med J","2013","2013/05/01","PMC3641876","","10.3325/cmj.2013.54.185"
"26958341","Automatically explaining machine learning prediction results: a demonstration on type 2 diabetes risk prediction","Luo G.","Health Inf Sci Syst. 2016 Mar 8;4:2. doi: 10.1186/s13755-016-0015-4. eCollection 2016.","Luo G","Health Inf Sci Syst","2016","2016/03/10","PMC4782293","","10.1186/s13755-016-0015-4"
"34308121","Random forest approach for determining risk prediction and predictive factors of type 2 diabetes: large-scale health check-up data in Japan","Ooka T, Johno H, Nakamoto K, Yoda Y, Yokomichi H, Yamagata Z.","BMJ Nutr Prev Health. 2021 Mar 11;4(1):140-148. doi: 10.1136/bmjnph-2020-000200. eCollection 2021.","Ooka T","BMJ Nutr Prev Health","2021","2021/07/26","PMC8258057","","10.1136/bmjnph-2020-000200"
"31619130","Probabilistic Graphical Modeling for Estimating Risk of Coronary Artery Disease: Applications of a Flexible Machine-Learning Method","Gupta A, Slater JJ, Boyne D, Mitsakakis N, Béliveau A, Druzdzel MJ, Brenner DR, Hussain S, Arora P.","Med Decis Making. 2019 Nov;39(8):1032-1044. doi: 10.1177/0272989X19879095. Epub 2019 Oct 16.","Gupta A","Med Decis Making","2019","2019/10/18","","","10.1177/0272989X19879095"
"33317504","MINDWALC: mining interpretable, discriminative walks for classification of nodes in a knowledge graph","Vandewiele G, Steenwinckel B, Turck F, Ongenae F.","BMC Med Inform Decis Mak. 2020 Dec 14;20(Suppl 4):191. doi: 10.1186/s12911-020-01134-w.","Vandewiele G","BMC Med Inform Decis Mak","2020","2020/12/15","PMC7734719","","10.1186/s12911-020-01134-w"
"33325832","Limitations of Deep Learning Attention Mechanisms in Clinical Research: Empirical Case Study Based on the Korean Diabetic Disease Setting","Kim J, Lee S, Hwang E, Ryu KS, Jeong H, Lee JW, Hwangbo Y, Choi KS, Cha HS.","J Med Internet Res. 2020 Dec 16;22(12):e18418. doi: 10.2196/18418.","Kim J","J Med Internet Res","2020","2020/12/16","PMC7773508","","10.2196/18418"
"15119514","Positive self-assessed general health in patients with medical problems. A qualitative study from general practice","Malterud K, Hollnagel H.","Scand J Prim Health Care. 2004 Mar;22(1):11-5. doi: 10.1080/02813430310000942.","Malterud K","Scand J Prim Health Care","2004","2004/05/04","","","10.1080/02813430310000942"
"34829299","A Trust-Based Methodology to Evaluate Deep Learning Models for Automatic Diagnosis of Ocular Toxoplasmosis from Fundus Images","Parra R, Ojeda V, Vázquez Noguera JL, García-Torres M, Mello-Román JC, Villalba C, Facon J, Divina F, Cardozo O, Castillo VE, Matto IC.","Diagnostics (Basel). 2021 Oct 21;11(11):1951. doi: 10.3390/diagnostics11111951.","Parra R","Diagnostics (Basel)","2021","2021/11/27","PMC8617957","","10.3390/diagnostics11111951"
"29191207","Medical subdomain classification of clinical notes using a machine learning-based natural language processing approach","Weng WH, Wagholikar KB, McCray AT, Szolovits P, Chueh HC.","BMC Med Inform Decis Mak. 2017 Dec 1;17(1):155. doi: 10.1186/s12911-017-0556-8.","Weng WH","BMC Med Inform Decis Mak","2017","2017/12/02","PMC5709846","","10.1186/s12911-017-0556-8"
"30928154","Prediction of cervical spine injury in young pediatric patients: an optimal trees artificial intelligence approach","Bertsimas D, Masiakos PT, Mylonas KS, Wiberg H.","J Pediatr Surg. 2019 Nov;54(11):2353-2357. doi: 10.1016/j.jpedsurg.2019.03.007. Epub 2019 Mar 18.","Bertsimas D","J Pediatr Surg","2019","2019/04/01","","","10.1016/j.jpedsurg.2019.03.007"
"35249179","Clinical Explainability Failure (CEF) & Explainability Failure Ratio (EFR) - Changing the Way We Validate Classification Algorithms","Venugopal VK, Takhar R, Gupta S, Mahajan V.","J Med Syst. 2022 Mar 5;46(4):20. doi: 10.1007/s10916-022-01806-2.","Venugopal VK","J Med Syst","2022","2022/03/06","","","10.1007/s10916-022-01806-2"
"32500277","Implementation of model explainability for a basic brain tumor detection using convolutional neural networks on MRI slices","Windisch P, Weber P, Fürweger C, Ehret F, Kufeld M, Zwahlen D, Muacevic A.","Neuroradiology. 2020 Nov;62(11):1515-1518. doi: 10.1007/s00234-020-02465-1. Epub 2020 Jun 4.","Windisch P","Neuroradiology","2020","2020/06/06","","","10.1007/s00234-020-02465-1"
